"Name","Source","ReleaseDate","Playtime","IsInstalled"
"The Crew 2","Xbox","29/06/2018","132300","False"
"ShellShock Live","Steam","7/03/2019","34380","False"
"DiRT Rally 2.0","Xbox","26/02/2019","2160","False"
"Ben 10: Power Trip","Xbox","9/10/2020","720","False"
"Car Mechanic Simulator 2018","Steam","21/07/2017","84060","False"
"FIFA Soccer 13","Xbox","31/12/2799","0","False"
"My Friend Pedro","Xbox","5/12/2019","900","False"
"Blender","Steam",,"805320","True"
"Kill It With Fire: IGNITION","Steam","28/04/2020","1800","False"
"Wolfenstein: The New Order","Epic","20/05/2014","0","False"
"click to ten","Steam",,"60","True"
"Powerstar Golf","Xbox","22/11/2013","0","False"
"Destiny 2","Steam","6/09/2017","0","False"
"Aragami 2","Xbox","17/09/2021","960","False"
"Ancient Enemy","Epic","9/04/2020","248","True"
"High Octane Drift","Steam","14/10/2016","1560","False"
"Killer Instinct","Xbox","27/01/2016","1200","False"
"SHENZHEN I/O","Xbox","17/11/2016","3480","True"
"Battlefield 4","Xbox","22/11/2013","0","False"
"KID A MNESIA EXHIBITION","Epic","18/11/2021","0","False"
"Superliminal","Xbox","7/07/2020","18600","False"
"VAIL Alpha","Steam",,"4800","False"
"AdVenture Communist","Steam","23/08/2016","2580","False"
"STAR WARS Battlefront II","Xbox","17/11/2017","86820","False"
"Saints Row: The Third","Xbox","15/05/2012","0","False"
"Drunken Wrestlers","Steam",,"960","False"
"theHunter Classic","Steam","3/06/2014","1140","False"
"Tom Clancy’s Rainbow Six Extraction","Xbox","20/01/2022","2220","False"
"Lawn Mowing Simulator","Xbox","10/08/2021","13200","False"
"Battlefield 1 ","Steam","1/08/2017","17160","False"
"CS:GO Player Profiles: pashaBiceps - Virtus.Pro","Steam",,"0","False"
"Sea of Thieves","Xbox","20/03/2018","70980","False"
"MONOPOLY PLUS","Xbox","25/11/2014","0","False"
"ROBLOX","Xbox","27/01/2016","113880","False"
"Realm Royale Reforged","Xbox","22/01/2019","1080","False"
"Bubble Witch 3 Saga","Xbox","31/01/2017","0","False"
"Shadow of the Tomb Raider: Definitive Edition","Epic","19/11/2019","0","False"
"CRSED","Steam","12/12/2019","480","False"
"SteamVR","Steam",,"365220","False"
"Shantae and the Pirate's Curse","GOG","23/10/2014","0","False"
"The Witcher: Enhanced Edition","GOG","16/09/2008","360","False"
"Golf With Your Friends","Xbox","23/07/2020","3180","False"
"The Ascent","Xbox","29/07/2021","3060","False"
"Engine Evolution 2021","Steam",,"0","False"
"IKEA VR Experience","Steam","4/04/2016","0","False"
"BeanVR","Steam",,"360","False"
"Rec Room","Xbox","3/12/2020","66540","False"
"CS:GO Player Profiles: olofmeister - fnatic","Steam",,"0","False"
"Saints Row The Third Remastered","Xbox","22/05/2020","13560","False"
